Request URL,title,publisher,date
http://www.rookiestew.com/10-totally-kick-ass-weapons-that-india-will-have-in-its-quiver-by-2020/,10 Totally Kick-Ass Weapons That India Will Have In Its Quiver By 2020,Post By: RS Staff,"Feb 27, 2015"
http://www.rookiestew.com/10-rail-budget-highlights-make-rail-journeys-convenient/,10 Rail Budget Highlights That Are Here To Make Your Rail Journeys More Convenient,Post By: RS Staff,"Feb 27, 2015"
http://www.rookiestew.com/research-claims-weed-114-times-harmful-alcohol/,This Research Claims Weed Is 114 Times Less Harmful Than Alcohol,Post By: RS Staff,"Feb 26, 2015"
http://www.rookiestew.com/drunk-girl-wanders-delhi-streets-men-directions-wine-shop-unexpected-replies/,"Drunk Girl Wanders On The Delhi-Streets Asking Men Directions To Wine Shop, Gets Unexpected Replies",Post By: RS Staff,"Feb 26, 2015"
http://www.rookiestew.com/acting-50-shades-of-grey-boy-ended-brutally-whipping-raping-classmate/,"Acting Out 50 Shades Of Grey, This Boy Ended Up Brutally Whipping And Raping His Classmate",Post By: RS Staff,"Feb 26, 2015"
http://www.rookiestew.com/these-most-popular-indian-superstitious-beliefs-reason-existence-surely-blow-away/,These 9 Most Popular Indian Superstitious Beliefs And Their Reason Of Existence Will Surely Blow You Away,Post By: RS Staff,"Feb 25, 2015"
http://www.rookiestew.com/never-have-food-any-indian-railways-vendor-watching-video-disgusting/,You Will Never Have Food From Any Indian Railways Vendor After Watching This Video. Disgusting!,Post By: RS Staff,"Feb 25, 2015"
http://www.rookiestew.com/when-guy-asked-internet-photoshop-sun-between-fingers-internet-turned-hilarious-trollground/,"When This Guy Asked Internet To Photoshop His Picture, The Entire Web Turned Into A Hilarious Trollground",Post By: RS Staff,"Feb 25, 2015"
http://www.rookiestew.com/rakhee-sawant-speaks-aib-controversy-logic-headache/,Rakhee Sawant Speaks On The AIB Controversy And Her Logic Will Give You Headache,Post By: RS Staff,"Feb 24, 2015"
http://www.rookiestew.com/response-india-uae-mauka-ad-will-make-lol/,This Response On The India Vs UAE Mauka Ad Will Make You LOL.,Post By: RS Staff,"Feb 24, 2015"
http://www.rookiestew.com/where-most-actresses-arm-and-leg-work-salman-actress-turned-offer/,"Where Most Actresses Would Give An Arm And A Leg To Work With Salman, This Actress Turned The Offer Down",Post By: RS Staff,"Feb 24, 2015"
http://www.rookiestew.com/women-asked-their-favourite-sex-position-reveal-crazy-secrets/,"These Women Were Asked About Their Favourite Sex Position, Reveal Crazy Secrets",Post By: RS Staff,"Feb 24, 2015"
http://www.rookiestew.com/second-video-sends-strong-message-ones-constantly-engage/,This 36 Second Video Sends A Strong Message To The Ones Who Constantly Engage In Ogling,Post By: RS Staff,"Feb 23, 2015"
http://www.rookiestew.com/memes-arvind-kejriwals-promise-provide-free-wifi-delhi-boisterously-funny/,These 11 Memes About Arvind Kejriwals Promise To Provide Free Wifi In Delhi Are Boisterously Funny,Post By: RS Staff,"Feb 23, 2015"
http://www.rookiestew.com/mcdonalds-meal-bought-years-ago-still-looks-fresh-to-eat/,This McDonalds Meal Was Bought 6 Years Ago And It Still Looks Fresh To Eat,Post By: RS Staff,"Feb 23, 2015"
http://www.rookiestew.com/lawmaker-yoga-pants-rig-system-wants-curb-them/,Lawmaker Thinks Yoga Pants Rig The System And He Wants To Curb Them,Post By: RS Staff,"Feb 23, 2015"
http://www.rookiestew.com/video-perfectly-describes-elusive-rules-indias-popular-sport-galli-cricket/,This Video Perfectly Describes The Elusive Rules Of Indias Most Popular Sport  Galli Cricket,Post By: RS Staff,"Feb 22, 2015"
http://www.rookiestew.com/up-close-zoomed-out-pics-iconic-landmarks-shows-often-missed-everyone/,Up Close And Zoomed Out Pics Of The Iconic Landmarks Shows What Is Often Missed By Everyone,,"Feb 22, 2015"
http://www.rookiestew.com/10-things-that-wed-like-telling-our-cricketers/,10 Things That Wed Like Telling Our Cricketers,Post By: RS Staff,"Feb 22, 2015"
